payout_time,character,transaction_type,resource,value,notes
2025-12-18 19:54:00,Crux, RECIEVE, eddies, 325, "Redwall: Medical Capital"
2025-12-18 19:54:00,Crux, RECIEVE, IP, 30, "Redwall: Medical Capital"
2025-12-18 19:54:00,Crux, RECIEVE, HEAT, 20, "Redwall: Medical Capital"
2025-12-18 19:54:00,Crux, RECIEVE, DT, 7, "Redwall: Medical Capital"
2025-12-18 19:54:00,Crux, RECIEVE, eddies, 300, "M: AdZep Takeover"
2025-12-18 19:54:00,Crux, RECIEVE, IP, 30, "M: AdZep Takeover"
2025-12-18 19:54:00,Crux, RECIEVE, HEAT, 24, "M: AdZep Takeover"
2025-12-18 19:54:00,Crux, RECIEVE, DT, 7, "M: AdZep Takeover"
2025-12-18 19:55:00,Crux, RECIEVE, eddies, 250, "Redwall: Eviction Notice"
2025-12-18 19:55:00,Crux, RECIEVE, IP, 30, "Redwall: Eviction Notice"
2025-12-18 19:55:00,Crux, RECIEVE, HEAT, 5, "Redwall: Eviction Notice"
2025-12-18 19:55:00,Crux, RECIEVE, DT, 7, "Redwall: Eviction Notice"
2025-12-22 17:11:00,Crux, RECIEVE, eddies, 285, "Chad: Dance with the Devil"
2025-12-22 17:11:00,Crux, RECIEVE, IP, 30, "Chad: Dance with the Devil"
2025-12-22 17:11:00, Crux, RECIEVE, HEAT, 5, "Chad: Dance with the Devil"
2025-12-22 17:11:00, Crux, RECIEVE, DT, 7, "Chad: Dance with the Devil"
2025-12-28 07:06:00, Crux, RECIEVE, eddies, 300, "Redwall: Trauma Exemption"
2025-12-28 07:06:00, Crux, RECIEVE, IP, 30, "Redwall: Trauma Exemption"
2025-12-28 07:06:00, Crux, RECIEVE, HEAT, 21, "Redwall: Trauma Exemption"
2025-12-28 07:06:00, Crux, RECIEVE, DT, 7, "Redwall: Trauma Exemption"
2025-12-30 05:44:00, Crux, RECIEVE, eddies, 250, "Sean: Scared Straight"
2025-12-30 05:44:00, Crux, RECIEVE, IP, 25, "Sean: Scared Straight"
2025-12-30 05:44:00, Crux, RECIEVE, "NPC Voucher", 1, "Sean: Scared Straight"
2025-12-31 06:50:00, Crux, RECIEVE, eddies, 460, "Sean: Rabbit's Retry"
2025-12-31 06:50:00, Crux, RECIEVE, IP, 30, "Sean: Rabbit's Retry"
2025-12-31 06:50:00, Crux, RECIEVE, HEAT, 15, "Sean: Rabbit's Retry"
2025-12-13 20:29:00, Crux, RECIEVE, eddies, 1050, "Character Creation"
2025-12-14 05:26:00, Crux, SPEND, eddies, 25, "To: Jay P; Gig Related"
2025-12-16 18:58:00, Crux, SPEND, eddies, 100, "To: Kenshi; Speedheals"
2025-12-17 20:15:00, Crux, SPEND, eddies, 50, "To: Bank; Vapehypo"
2025-12-17 20:32:00, Crux, SPEND, eddies, 100, "To: Bank; Mimic Kit"
2025-12-17 20:32:00, Crux, SPEND, eddies, 60, "To: Bank; Kevlar Helmet Bag Lady Chic Hat"
2025-12-18 02:44:00, Crux, SPEND, eddies, 100, "To: Kenshi; Speedheals"
2025-12-18 03:20:00, Crux, SPEND, eddies, 110, "To: Vulture; Speedheals"
2025-12-18 04:49:00, Crux, SPEND, eddies, 10, "Void: Combat Cab?"
2025-12-18 22:59:00, Crux, SPEND, eddies, 824, "To: Smiski; Smartlink. Premium Materials (3). Neuroport Cyberdeck Port"
2025-12-18 23:36:00, Crux, SPEND, eddies, 20, "To: Bank; Kirama Training Deck"
2025-12-19 05:49:00, Crux, SPEND, eddies, 29, "To: Vulture; Surgery"
2025-12-19 05:54:00, Crux, SPEND, DT, 1, "Treatment w/ Vulture. Neuroport Cyberdeck Port Installation. Installing Programs to Cyberdeck"
2025-12-22 06:43:00, Crux, RECIEVE, eddies, 60, "From: Jo; Speedheal"
2025-12-22 07:15:00, Crux, SPEND, eddies, 60, "To: Jo; Refund"
2025-12-22 07:38:00, Crux, SPEND, eddies, 33, "To: Vulture; Surgery"
2025-12-22 07:41:00, Crux, SPEND, DT, 1, "Surgery"
2025-12-22 07:53:00, Crux, SPEND, eddies, 40, "To: Sus Friar; Synthcoke (3)"
2025-12-22 19:06:00, Crux, SPEND, eddies, 50, "To: Kenshi; Speedheal"
2025-12-24 07:49:00, Crux, SPEND, eddies, 50, "To: Kenshi; Antibiotics"
2025-12-28 20:23:00, Crux, SPEND, DT, 1, "Healing w/ Antibiotics"
2025-12-29 02:22:00, Crux, SPEND, eddies, 30, "To: Vulture; Surgery"
2025-12-29 02:29:00, Crux, SPEND, DT, 1, "Surgery"
2025-12-29 05:03:00, Crux, SPEND, eddies, 50, "To: Kenshi; Speedheal"
2025-12-31 03:44:00, Crux, SPEND, eddies, 50, "To: Kenshi; Speedheal"
2025-12-31 03:44:00, Crux, SPEND, eddies, 30, "To: Vulture; Surgery"
2025-12-31 17:49:00, Crux, SPEND, eddies, 10, "To: Bank; Basic Arrows (10)"
2025-12-14 23:59:00, Crux, SPEND, eddies, 90, "NPC Tech: Arasaka Origami"
2025-12-16 00:59:00, Crux, SPEND, eddies, 170, "NPC Tech: Upgrade; Arasaka Origami"
2025-12-18 23:27:00,Crux, SPEND, eddies, 40, "NPC Tech: Wisp"
2025-12-28 04:45:00,Crux, SPEND, eddies, 300, "NPC Tech: EagleTech Bearcat; using Materials"
2025-12-30 06:18:00,Crux, SPEND, eddies, 200, "NPC Tech: Smartglasses; using Materials & NPC Voucher"
2025-12-30 06:18:00,Crux, SPEND, "NPC Voucher", 1, "NPC Tech: reduce cost by 100eb"
2025-12-31 03:48:00,Crux, SPEND, DT, 1, "Treatment w/ Vulture"
2025-12-31 17:47:00,Crux, SPEND, eddies, 300, "NPC Tech: Low Light / Infrared / UV"
2026-01-05 08:52:00,Crux,RECIEVE,eddies,386,"Chad: Continental Gigs: Bird of Prey"
2026-01-05 08:52:00,Crux,RECIEVE,IP,30,"Chad: Continental Gigs: Bird of Prey"
2026-01-05 08:52:00,Crux,RECIEVE,DT,1,"Chad: Continental Gigs: Bird of Prey"
2026-01-05 08:53:00,Crux,RECIEVE,eddies,120,"M: Netrunner Year's Day" 
2026-01-05 08:53:00,Crux,RECIEVE,IP,10,"M: Netrunner Year's Day" 
2026-01-05 08:53:00,Crux,RECIEVE,DT,7,"M: Netrunner Year's Day"
2026-01-02 04:12:00,Crux,SPEND,eddies,90,"To: Jay P; Premium Materials (1)" 
2026-01-04 05:24:00,Crux,SPEND,eddies,10,"Combat Cabs & Inflation"
2026-01-05 08:30:00,Crux,SPEND,eddies,50,"To: Kenshi; Speedheal"
2026-01-06 01:53:00,Crux,SPEND,eddies,50,"To: Kenshi; Speedheal"
2026-01-06 02:31:00,Crux,SPEND,eddies,40,"To: Guy; Speedheal"
2026-01-07 07:47:00,Crux,RECIEVE,eddies,440,"Sean: Home After The Holidays"
2026-01-07 07:47:00,Crux,RECIEVE,HEAT,5,"Sean: Home After The Holidays"
2026-01-07 07:47:00,Crux,RECIEVE,DT,7,"Sean: Home After The Holidays"



